S5-CLM-00003486	Arxiv.«0912.2382».curling_number_conjecture	The sequence will eventually reach $1$.	(S₀ : List ℤ) (h : S₀ ≠ []) : ∃ m, k (S S₀ m) = 1
S5-CLM-00005457	WrittenOnTheWallII.GraphConjecture19.conjecture19	WOWII [Conjecture 19](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  If `G` is connected then the size `b(G)` of a largest induced bipartite subgraph satisfies `b(G) ≥ FLOOR((∑ ecc(v))/(|V|) + sSup (range (l G)))`, where `ecc(v)` denotes eccentricity and `l(G)` is the independence number of neighbourhoods.	(G : SimpleGraph α) [Nontrivial α] (h_conn : G.Connected) :     ⌊(∑ v ∈ Finset.univ, ((G.eccent v).toNat : ℝ)) / (Fintype.card α : ℝ) +       sSup (Set.range (indepNeighbors G))⌋ ≤ b G
S5-CLM-00005459	WrittenOnTheWallII.GraphConjecture198a.conjecture198a	WOWII [Conjecture 198a](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  For a simple connected graph `G`, if `b(G) ≤ 2 + ecc_avg(G)`, then `G` has a Hamiltonian path. Here `b(G)` is the number of vertices in a largest induced bipartite subgraph, and `ecc_avg(G)` is the average eccentricity of `G`. A Hamiltonian path is a walk visiting every vertex exactly once.	(G : SimpleGraph α) (h : G.Connected)     (hb : b G ≤ 2 + averageEccentricity G) :     ∃ a b : α, ∃ p : G.Walk a b, p.IsHamiltonian
S5-CLM-00005462	WrittenOnTheWallII.GraphConjecture200.conjecture200	WOWII [Conjecture 200](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  For a simple connected graph `G`, if `tree(G) = ⌈1 + l_avg(G)⌉`, then `G` has a Hamiltonian path. Here `tree(G)` is the number of vertices of a largest induced tree subgraph, and `l_avg(G) = averageIndepNeighbors G` is the average over all vertices of the independence number of the neighbourhood. A Hamiltonian path is a walk visiting every vertex exactly once.	(G : SimpleGraph α) (h : G.Connected)     (htree : (largestInducedTreeSize G : ℝ) = ⌈1 + averageIndepNeighbors G⌉) :     ∃ a b : α, ∃ p : G.Walk a b, p.IsHamiltonian
S5-CLM-00005465	WrittenOnTheWallII.GraphConjecture291.conjecture291	WOWII [Conjecture 291](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  For a simple connected graph $G$ with $n > 2$, $\gamma_t(G) \le k + \mathrm{frequency}(t_{\min}(v))$ where:  - $\gamma_t(G)$ is the total domination number, - $k$ is the first step in which a zero appears in the Havel-Hakimi process, - $\mathrm{frequency}(t_{\min}(v))$ is the number of vertices achieving the   minimum triangle count.	(G : SimpleGraph α) [DecidableRel G.Adj] (h : G.Connected)     (hn : 2 < Fintype.card α) :     G.totalDominationNumber ≤     havelHakimiZeroStep G + freqMinTriangles G
S5-CLM-00005468	WrittenOnTheWallII.GraphConjecture314.conjecture314	WOWII [Conjecture 314](http://cms.uhd.edu/faculty/delavinae/research/wowII/all.html#conj314):  For every finite simple connected graph $G$ with $n > 1$ vertices, if $G$ is triangle-free and $\mathrm{path}(G) \le 4$, then $G$ is well totally dominated.  Here $\mathrm{path}(G) = \mathrm{largestInducedPathSize}\, G$ is the **size of a largest induced path** in $G$, defined locally above.  **Disambiguation.** Earlier revisions of this file used the `SimpleGraph.path` invariant, but that is the *floor of the average distance*, not the size of a largest induced path — a different quantity that makes Conjecture 314 vacuous in many cases.	[Nontrivial α] (G : SimpleGraph α) [DecidableRel G.Adj]     (hG : G.Connected)     (hTriFree : ∀ a b c : α, G.Adj a b → G.Adj b c → G.Adj c a → False)     (hPath : largestInducedPathSize G ≤ 4) :     IsWellTotallyDominated G
S5-CLM-00005477	WrittenOnTheWallII.GraphConjecture40.conjecture40	WOWII [Conjecture 40](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  For a nontrivial connected graph `G` the size `f(G)` of a largest induced forest satisfies `f(G) ≥ ceil((p(G) + b(G) + 1)/2)` where `p(G)` is the path cover number and `b(G)` is the largest induced bipartite subgraph size.	(h_conn : G.Connected) (h_nontrivial : 1 < Fintype.card α) :     ⌈(((pathCoverNumber G : ℝ) + b G + 1) / 2)⌉ ≤  G.largestInducedForestSize
S5-CLM-00005480	WrittenOnTheWallII.GraphConjecture59.conjecture59	WOWII [Conjecture 59](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  For a simple connected graph $G$, the size $f(G)$ of a largest induced forest satisfies $f(G) \ge \lceil \sqrt{\mathrm{residue}(G) \cdot b(G)} \rceil$, where $\mathrm{residue}(G)$ is the Havel-Hakimi residue (the number of zeros remaining after applying the Havel-Hakimi algorithm to the degree sequence until termination) and $b(G)$ is the size of a largest induced bipartite subgraph.  See: Favaron, Mahéo, Saclé (1991) for the residue; DeLaVina's Graffiti.pc for the conjecture.	(G : SimpleGraph α) [DecidableRel G.Adj] (h : G.Connected) :     ⌈Real.sqrt ((residue G : ℝ) * b G)⌉ ≤ (G.largestInducedForestSize : ℝ)
S5-CLM-00005482	WrittenOnTheWallII.GraphConjecture61.conjecture61	WOWII [Conjecture 61](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  For a simple connected graph $G$, the size $f(G)$ of a largest induced forest satisfies $f(G) \ge \mathrm{residue}(G) + \lceil \mathrm{diam}(G) / 3 \rceil$, where $\mathrm{residue}(G)$ is the Havel-Hakimi residue and $\mathrm{diam}(G)$ is the diameter of $G$.  See: Favaron, Mahéo, Saclé (1991) for the residue; DeLaVina's Graffiti.pc for the conjecture.	(G : SimpleGraph α) [DecidableRel G.Adj] (h : G.Connected) :     (residue G : ℝ) + ⌈(G.diam : ℝ) / 3⌉ ≤ (G.largestInducedForestSize : ℝ)
S5-CLM-00005985	Every map in the stated class N^+_{n,N} is globally injective.		
S5-CLM-00005986	There is an explicit linear-size tournament family whose directed clique number grows at least as n^{1/100}.		
S5-CLM-00005987	The tournament directed-clique problem Ptourclique is Sigma_2^P-complete.		
S5-CLM-00005988	The two bounded-weight universal-cycle constructions are equivalent and the resulting cycle admits O(1)-amortized symbol generation.		
S5-CLM-00005989	Every d-dimensional zonotope admits a (1±epsilon) zonotopal approximation with O(d/epsilon^2) generators.		
S5-CLM-00005990	Every transshipment can be efficiently rounded to an unsplittable one with coordinate error at most d_max.		
S5-CLM-00005991	The complexity of finite smooth binary words grows as Theta(n^rho) with the stated exponent rho.		
S5-CLM-00005992	With high probability, every width-m two-layer network fitting random labeled data has Lipschitz constant at least c√(n/m) for any Lipschitz activation.		
S5-CLM-00005993	The diameter of the generator graph of a square-free linearly presented degree-d monomial ideal is polynomially bounded in d.		
S5-CLM-00005994	Some ReLU architectures having a hidden layer of width one admit no identifiable parameters.		
S5-CLM-00005995	Incoherent social decision frames have unbounded index.		
S5-CLM-00005996	For braid index at least four, the HOMFLY-PT/Kauffman relation implies factorization of the HZ transform.		
S5-CLM-00005997	The map from A to holomorphic-topological sl_2 observables is an isomorphism of Poisson vertex algebras.		
S5-CLM-00005998	Alien derivatives between flat connections correspond to residue morphisms between their skyscraper sheaves.		
S5-CLM-00005999	The category of Chern–Simons boundary conditions is equivalent to ind-coherent sheaves on the formal completion of the character stack.		
S5-CLM-00006000	The E2-category from BV-BFV quantization of level-k Chern-Simons theory is E2-equivalent to the corresponding quantum-group ribbon category.		
S5-CLM-00006001	A module of finite G-dimension has grade equal to the height of its annihilator.		
S5-CLM-00006002	An isolated characteristic-zero graded singularity with negative b-invariant is of strongly F-regular type, and is log terminal when Q-Gorenstein.		
S5-CLM-00006003	For every commutative unital ring, finiteness of p2 is equivalent to finiteness of one, and hence every, even-degree Pythagoras number.		
S5-CLM-00006004	The connected l-adic monodromy group equals the Mumford-Tate group after extension to Q_l.		
S5-CLM-00006005	The logarithmic Kodaira dimension satisfies the stated Iitaka addition inequality.		
S5-CLM-00006006	Artin comparison identifies the spans of Hodge classes and Tate classes in every even cohomological degree and power of a smooth projective variety over a number field.		
S5-CLM-00006007	Every finite-Morse-index entire Allen-Cahn solution in dimension at least three has finitely many ends.		
S5-CLM-00006008	Along a non-CKN dyadic branch of a suitable weak Navier-Stokes solution, some bounded relative filter scales and a subsequence keep the sum of the three stated diagnostics uniformly positive.		
S5-CLM-00006009	For k>=3, periodic k-gKdV is unconditionally locally well posed in H^s for every s>=1/2-1/k.		
S5-CLM-00006010	The displayed relative HZ smash product is equivalent, as a Map^{C2}(G,E_{2+sigma})-algebra, to HZ tensored with the suspension spectrum of the stated equivariant mapping space.		
S5-CLM-00006011	Every proper metric space has a natural coarse Hurewicz morphism whose comparison diagram with expanded homotopy and locally finite homology commutes.		
S5-CLM-00006012	A symmetric monoidal functor TW exists from fermionic groups to spaces over BO/BSpin and satisfies the stated objectwise and Thom-spectrum compatibility conditions.		
S5-CLM-00006013	Each derivative discriminant is a positive combination of symmetrized graph monomials with even edge multiplicities.		
S5-CLM-00006014	The three stated Tutte-type nowhere-zero Z5-, Z4-, and Z3-flow conjectures all hold under their respective connectivity and minor hypotheses.		
S5-CLM-00006015	Every k-sunflower-free family of m-subsets has size at most mu(k)^m.		
S5-CLM-00006016	Every connected n-vertex graph has cop number O(sqrt(n)).		
S5-CLM-00006017	A derived finite-dimensional C*-algebra category admits a derived-centre comonad yielding the proposed cohesive linear infinity-topos.		
S5-CLM-00006018	The ordinary centre comonad does not faithfully embed completely positive trace-preserving maps.		
S5-CLM-00006019	The localization functor has the stated mapping-object right adjoint.		
S5-CLM-00006020	A Teichmuller disk is a holomorphic retract exactly when its generating quadratic differential has only even-order zeros.		
S5-CLM-00006021	A harmonic map of the disk with Schwarzian norm at most 3/2 extends homeomorphically to the closed target domain.		
S5-CLM-00006022	The harmonic Schwarzian threshold σ_H(D) equals 3/2.		
S5-CLM-00006023	Among lambda-convex bodies with fixed boundary measure, a lambda-convex lens minimizes volume.		
S5-CLM-00006024	Every timelike-complete globally hyperbolic spacetime with compact Cauchy surfaces and strong energy condition admits a temporal foliation whose future or past Lorentz-distance family is locally equi-Lipschitz.		
S5-CLM-00006025	Every Riemannian manifold diffeomorphic to S^3 contains four distinct embedded minimal two-spheres.		
S5-CLM-00006026	Every two-dimensional configuration with P_eta(k,n)<=kn is periodic.		
S5-CLM-00006027	A group is amenable exactly when every set of measurable recurrence is also a set of topological recurrence.		
S5-CLM-00006028	Every ergodic Z^d-nilsystem has the stated discrete-spectrum plus subtorus-Haar-absolutely-continuous Koopman decomposition.		
S5-CLM-00006029	Every n bounded complex vectors admit a unimodular vector whose inner products with all of them have modulus at most sqrt(n).		
S5-CLM-00006030	For 1<=q<=2<=p, the complex Banach-Mazur distance between finite-dimensional l_p and l_q equals the stated power n^alpha.		
S5-CLM-00006031	For any two matrices, two unitary conjugates of their q-symmetrized absolute values dominate the q-symmetrized absolute value of their sum with constant sqrt(2).		
S5-CLM-00006032	The Betke-Henk-Wills lattice-point upper bound holds for every origin-containing convex body and lattice.		
S5-CLM-00006033	For every n>=3, D_{2n} has more MSTD subsets than MDTS subsets.		
S5-CLM-00006034	Every connected Cayley graph of an epsilon-quasirandom group is an epsilon-uniform expander.		
S5-CLM-00006035	Every cocompact lattice on an irreducible Euclidean building of dimension at least two is virtually simple when it is nonarithmetic.		
S5-CLM-00006036	For every weighted hypergraph, the interchange process spectral gap in the regular representation equals that in the standard representation.		
S5-CLM-00006037	No closed aspherical manifold admits a Riemannian metric of positive scalar curvature.		
S5-CLM-00006038	The mean-square variance of primes in intervals of length H is asymptotic to H log(X/H), uniformly in the stated range.		
S5-CLM-00006039	Every knot has only finitely many ribbon-concordance predecessors.		
S5-CLM-00006040	Every CSP of a first-order reduct of a finitely bounded homogeneous structure is either in P or NP-complete.		
S5-CLM-00006041	If kappa is a limit of Woodin cardinals, then Theta of D(V,kappa) is below kappa^+ and D(V,kappa) satisfies AD_R.		
S5-CLM-00006042	For every Polish group, nonmeager independence is the maximum strongly admissible geometry.		
S5-CLM-00006043	For every compact metric space of strictly negative type, mu'_Y(0)=M(Y).		
S5-CLM-00006044	Every asymmetric L_p-zonoid satisfies |Z plus_p -Z|<=2^n|Z|.		
S5-CLM-00006045	Every origin-containing centrally symmetric convex body satisfies the stated sharp L_p Rogers-Shephard volume bound, with equality for the cube.		
S5-CLM-00006046	Every algebraic relation among multiple zeta values follows from comparison of the extended shuffle and stuffle maps via regularization.		
S5-CLM-00006047	The Fargues-Scholze functor restricts to the proposed equivalence with nilpotent-support coherent sheaves.		
S5-CLM-00006048	Every finite coloring of the natural numbers contains a monochromatic Pythagorean triple.		
S5-CLM-00006049	For any flow on the hyperfinite II_1 factor, cocycle conjugacy to the model flow, the Rokhlin property, strict outerness, and full Connes spectrum plus outerness are equivalent.		
S5-CLM-00006050	For every admissible kappa,D,q,N,d and initial point, there is an inexactly smooth convex hard instance giving the stated asymptotically sharp lower bound for every subgradient-span method.		
S5-CLM-00006051	Every log-concave measure has isoperimetric constant comparable from below to its halfspace value, equivalently at least a universal constant over √||A||op.		
S5-CLM-00006052	For every dimension d, there is an equiangular tight frame of d^2 vectors in C^d.		
S5-CLM-00006053	The Gaussian tensor sum satisfies the stated type-2 norm estimate with dimension exponent one-half minus one over p.		
S5-CLM-00006054	The epsilon transform of any CYBE solution by a transitive sign matrix again solves CYBE.		
S5-CLM-00006055	The sign-matrix transform of any QYBE solution again solves QYBE.		
S5-CLM-00006056	The four stated quantum-toroidal operators have the conjectured Pieri differential-operator formulas and coefficient generating functions.		
S5-CLM-00006057	In every non-torsion monoid, each nonempty subset of integers greater than one occurs as a finite power-monoid length set.		
S5-CLM-00006058	There are finitely many clonoids between two finite modules exactly when the module orders are coprime.		
S5-CLM-00006059	Any two minimal generating systems of an S-subalgebra of the cyclic free associative algebra have the same number of generators in every degree.		
S5-CLM-00006060	The full twist FT_W naturally commutes under convolution with every object of the stated Abe-Bott-Samelson category.		
S5-CLM-00006061	The totally nonnegative part of the twisted double flag variety equals its intersection with the nonnegative canonical-basis projective cone.		
S5-CLM-00006062	The self-extension algebra of the tensor unit in the stated category is the Q-invariant coordinate algebra of the Slodowy slice.		
S5-CLM-00006063	The Fukaya category determines all Gromov-Witten invariants of a symplectic manifold.		
S5-CLM-00006064	Below the accumulation point, c_b is unobstructed exactly for ratios b=m/d arising from the specified mutation data.		
S5-CLM-00006065	The higher-torsion classes associated with two nullhomotopies differ by the specified Pontryagin class.		
S5-CLM-00006066	The natural SIT-free mosquito equilibrium is globally asymptotically stable relative to the specified positive invariant component.		
S5-CLM-00006067	Circuit many-body localization does not exist.		
S5-CLM-00006068	On every compact negatively curved manifold, every high-frequency Laplace eigenbasis equidistributes and has the unique Liouville semiclassical measure.		
S5-CLM-00006069	All graphs are well-quasi-ordered by the pivot-minor relation.		
S5-CLM-00006070	For nonregular initial data in dimension at least three, the restricted holonomy group of Laplacian dynamics is SO(d).		
S5-CLM-00006071	The sharp top-1 associative-memory retrieval threshold is d^2/(n log n)=2.		
S5-CLM-00006072	Every K3-divisible n-vertex graph of minimum degree at least 3n/4 has a perfect triangle packing.		
S5-CLM-00006073	Every H-free graph has a clique or stable set of polynomial size, with exponent depending only on H.		
S5-CLM-00006074	Every closed negatively curved 2n-manifold has Euler characteristic of sign (-1)^n and nonzero magnitude.		
S5-CLM-00006075	Every connected Cayley graph on a finite group of order at least three is Hamiltonian.		
S5-CLM-00006076	The matching-free r-uniform hypergraph extremal number obeys the stated maximum of the clique and star constructions.		
S5-CLM-00006077	Every plurigenus is constant in a smooth family of compact Kahler manifolds over a disk.		
S5-CLM-00006078	The graph of every 0/1 polytope has edge expansion at least 1.		
S5-CLM-00006079	The l-adic rational cycle class map is surjective in every codimension.		
S5-CLM-00006080	Every smooth Fano variety satisfies (i_X-1)rho_X<=dim X, with equality exactly for a product of projective spaces.		
S5-CLM-00006081	There is beta>0 such that every finitely generated group with growth strictly below exp(n^beta) is virtually nilpotent.		
S5-CLM-00006082	Over every field of size at least four, each nonsingular matrix maps some all-nonzero vector to another all-nonzero vector.		
S5-CLM-00006083	Every graph has list chromatic index equal to chromatic index.		
S5-CLM-00006084	Every simple undirected graph with at least three vertices is reconstructible from its vertex-deleted deck.		
S5-CLM-00006085	The stated IndCoh-to-IndL equivalence is B-linear and compatible with Wilson/Hecke operators.		
S5-CLM-00006086	Every positive-density subset of the polynomial Hales-Jewett space contains a polynomial combinatorial line.		
S5-CLM-00006087	Every effective Tate-coniveau Galois subrepresentation is supported on a closed subset of the corresponding codimension.		
S5-CLM-00006088	Every rational sub-Hodge structure of Hodge coniveau at least k is supported on a codimension-k algebraic subset.		
S5-CLM-00006089	Normalized logarithmic cohomological torsion along the congruence tower has a computable limit.		
S5-CLM-00006090	The proportion of n-element matroids that are paving tends to one.		
S5-CLM-00006091	Every representation satisfying the stated oddness, irreducibility, conductor, determinant, and finite-flat hypotheses arises from a weight-two mod-p eigenform of the predicted level.		
S5-CLM-00006092	Exactly the densities below 4/9 are jumps for 3-uniform hypergraphs, while every density from 4/9 to one is a non-jump.		
